from,to,text,time_start,time_end,comment
GAA329,F1-1,zero nine zero three twenty nine roger that sir,11.21,13.57,
USA268,F1-1,cleared the i l s two seven u s air two sixty eight,20.74,22.75,
F1-1,USA268,yes sir two sixty eight contact the tower one one niner point one,22.75,25.44,
USA268,F1-1,have a good day,25.43,26.36,
F1-1,N01C,cessna zero one charlie v f r descent maintain three thousand,29.62,32.7,
N01C,F1-1,three thousand zero one charlie,33.07,34.69,
GAA329,F1-1,bizex three twenty nine traffic twelve thirty five miles leaving three thousand five hundred is a merlin,34.98,40.64,
F1-1,GAA329,bizex three twenty nine turn right heading one three zero,62.26,64.7,
GAA329,F1-1,one three zero for three twenty nine,64.94,67.01,
GAA329,F1-1,ah we got him in sight now sir bizex three twenty nine going down to three thousand,85.42,89.34,
F1-1,GAA329,ex three twenty nine descent your discretion after landing two two left hold short of runway two seven follow that traffic,89.39,94.4,
GAA329,F1-1,ah roger that sir ah bizex three twenty nine,95.49,98.36,
F1-1,NERA3788,nera thirty seven eighty eight reduce and maintain speed one seven zero till a lindy and contact the tower one one niner point one,102.43,108.51,
F1-1,N01C,twin cessna zero one charlie turn right heading zero niner zero,119.5,122.11,
N01C,F1-1,zero nine zero,122.32,123.29,
F1-1,N21CM,gulfstream two two one charlie mike boston approach control roger descend and maintain four thousand,147.88,151.96,
N21CM,F1-1,out of eight for four charlie mike,152.61,154.3,
N01C,F1-1,have in sight,164.11,165.19,
F1-1,N01C,cessna zero one charlie advise traffic in sight last transmission was broken,168.71,172.42,
N01C,F1-1,o k we got him in sight,172.42,173.72,
F1-1,N01C,november two two zero one charlie follow that traffic to runway two two left after landing hold short of runway two seven descent your discretion although maintain three thousand until ten d m e and then descent your discretion,174.62,185.23,
NERA3725,F1-1,boston nera thirty seven twenty five checking in level four thousand heading of one six zero,189.96,194.98,
F1-1,NERA3725,thirty seven twenty five boston good afternoon roger,194.89,197.2,
PCN3571,F1-1,boston approach precision thirty five seventy one passing five point four for four thousand,214.01,218.82,
F1-1,PCN3571,precision thirty five seventy one boston approach roger,218.97,221.31,
F1-1,N21CM,gulfstream one charlie mike turn left heading zero niner zero and descend and maintain two thousand,226.93,230.79,
N21CM,F1-1,left to zero niner zero out of six for two charlie mike,231.08,234.22,
F1-1,N01C,crusader two two zero one charlie contact the tower one one niner point one,241.06,244.02,
N01C,F1-1,nineteen one,244.29,244.9,
N21CM,F1-1,we have it in sight,249.87,250.85,
F1-1,N21CM,gulfstream two two one charlie mike your runway is two seven cleared for the visual approach,250.97,254.58,
N21CM,F1-1,o k cleared for the visual two seven charlie mike,254.9,257.21,
FAB1588,F1-1,u s air fifteen eighty eight boston approach good afternoon descend and maintain four thousand,265.65,269.12,
USA1588,F1-1,on down to four thousand u s air fifteen eighty eight,269.37,272.2,
NWA1178,F1-1,boston northwest eleven seventy eight six point nine for five,273.56,276.69,
F1-1,NWA1178,northwest eleven seventy eight boston approach control roger,276.79,279.11,
F1-1,NERA3725,nera thirty seven twenty five descend and maintain three thousand then reduce speed to one seven zero,281.22,285.36,
NERA3725,F1-1,down to three then one seventy on the speed nera thirty seven twenty five,286.1,289.76,
SWR126,F1-1,boston good afternoon swissair one two six heavy ten thousand descending,291.38,295.38,
F1-1,SWR126,swissair one two six heavy boston approach good afternoon descend and maintain four thousand and then reduce and maintain speed two one zero,295.71,302.0,
SWR126,F1-1,four thousand then two ten swissair one twenty six heavy,302.12,305.94,
F1-1,NERA3725,nera thirty seven twenty five turn right heading two zero zero six from lindy maintain two thousand until established cleared i l s approach runway two two left after landing hold short of runway two seven,322.81,331.04,
F1-1,PCN3571,precision thirty five seventy one is five from wayne cross wayne at three thousand cleared i l s two two left hold short of runway two seven,338.99,344.19,
PCN3571,F1-1,cross wayne at three thousand cleared i l s approach precision thirty five seventy one,344.4,348.55,
NERA3725,F1-1,nineteen one thirty seven twenty five and one seven zero on the airspeed,354.05,357.61,
F1-1,N21CM,gulfstream two two one charlie mike traffic landing runway two two left will hold short of your runway contact boston tower one one niner point one,357.67,363.37,
N21CM,F1-1,charlie mike wilco,363.54,364.6,
F1-1,SWR126,swissair one twenty six heavy turn right heading three one zero,365.13,367.8,
SWR126,F1-1,right three ten swissair one twenty six,367.91,370.6,
F1-1,USA1588,u s air fifteen eighty eight descend and maintain three thousand,370.73,373.18,
USA1588,F1-1,three thousand u s air fifteen eighty eight,373.36,375.34,
F1-1,NWA1178,northwest eleven seventy eight descend and maintain three thousand,375.29,377.88,
NWA1178,F1-1,three thousand eleven seventy eight,377.92,379.67,
F1-1,USA1588,u s air fifteen eighty eight turn right heading one eight zero,390.73,393.13,
USA1588,F1-1,one eight zero heading u s air fifteen eighty eight,393.52,395.53,
F1-1,PCN3571,precision thirty five seventy one maintain a hundred and seventy knots or greater til lindy and contact the tower one one niner point one,404.82,410.08,
PCN3571,F1-1,one seventy and one one niner point one precision thirty five seventy one,411.01,414.34,
F1-1,USA1588,u s air fifteen eighty eight reduce speed to one seven zero and advise runway two seven in sight,414.38,418.22,
USA1588,F1-1,we have it in sight and ah back to one seven zero on the speed,419.45,422.78,
F1-1,NWA1178,northwest eleven seventy eight turn left heading three three zero,422.9,425.45,
NWA1178,F1-1,left three three zero eleven seventy eight,425.68,427.67,
F1-1,USA1588,u s air fifteen eighty eight your runway is two seven cleared for the visual approach,427.73,430.92,
USA1588,F1-1,cleared for the visual two seven u s air fifteen eighty eight,430.99,433.63,
USA884,F1-1,u s air eight eighty four is with you at six thousand good afternoon,435.62,438.44,
F1-1,USA884,u s air eight eighty four boston approach good afternoon maintain six thousand lower in five miles for runway two seven,438.38,443.17,
USA884,F1-1,o k,443.26,443.92,
F1-1,SWR126,swissair one twenty six heavy reduce speed to one seven zero,445.64,448.38,
SWR126,F1-1,reducing one twenty six,448.5,450.19,
F1-1,SWR126,swissair one twenty six heavy turn left heading two five zero and intercept the localizer,467.0,470.57,
SWR126,F1-1,two five zero for the localizer swissair one twenty six,470.55,473.52,
F1-1,NWA1178,northwest eleven seventy eight turn left heading three zero zero and intercept the localizer,473.78,477.23,
NWA1178,F1-1,three hundred intercept the localizer eleven seventy eight,477.47,480.06,
F1-1,USA1588,u s air fifteen eighty eight traffic landing two two left will hold short of your runway contact the tower one one niner point one,480.17,485.25,
USA1588,F1-1,nineteen one u s air fifteen eighty eight,485.29,487.22,
NWA1178,F1-1,cleared i l s d m e two seven northwest eleven seventy eight two thousand til over ripit,495.53,499.67,
NWA1178,F1-1,k til established eleven seventy eight,503.23,505.08,
F1-1,NWA1178,northwest eleven seventy eight maintain speed one seven zero til ripit and contact the tower one one niner point one,546.59,551.57,
NWA1178,F1-1,o k one seventy to ripit ah nineteen one eleven seventy eight,552.48,555.56,
F1-1,USA884,u s air eight eighty four descend and maintain four thousand,555.7,558.13,
USA884,F1-1,four thousand u s air eight eighty four,558.4,560.26,
SWR126,F1-1,fully established swissair one twenty six,611.89,613.89,
F1-1,SWR126,swissair one twenty six heavy say again,615.83,617.41,
SWR126,F1-1,we are fully established two two left,617.88,620.0,
F1-1,SWR126,fully established very good swissair one twenty six heavy contact boston tower one one niner point one,620.27,624.2,
SWR126,F1-1,nineteen one good by,624.37,625.65,
PAA536,F1-1,boston approach clipper five thirty six with you ah out of niner thousand for five thousand,630.71,634.1,
F1-1,PAA536,clipper five thirty six boston roger,634.22,635.65,
F1-1,USA884,u s air u s air eight eighty four turn left heading zero niner zero,637.07,640.84,
USA884,F1-1,left turn zero nine zero u s air eight eighty four,641.31,643.53,
F1-1,USA884,u s air eight eighty four you are turning right direct to boston,651.62,654.11,
USA884,F1-1,we was wondering about that o k,659.0,660.76,
F1-1,USA884,right,660.86,661.36,
USA884,F1-1,you normally expect a heading ah once you get before you get to that ah fix,661.61,664.93,
USA884,F1-1,o k all the way back around to zero four zero u s air eight eighty four,677.89,681.0,
GAA458,F1-1,boston bizex four fifty eight passing zero four zero,683.14,685.81,
F1-1,GAA458,four five eight roger,686.0,687.12,
F1-1,SWR126,swissair one twenty six heavy contact the tower one one niner point one,687.63,690.41,
F1-1,PAA536,clipper five thirty six turn left heading three six zero and descend and maintain three thousand,695.42,698.93,
PAA536,F1-1,three six zero three thousand clipper five thirty six,699.06,701.54,
DAL258,F1-1,good afternoon approach delta two fifty eight here vacating ah ten for five with kilo,703.56,707.88,
F1-1,DAL258,delta two fifty eight roger,707.8,708.74,
F1-1,USA884,u s air eight eighty four make your right turn back to heading two five zero and intercept the localizer apologize for that,730.12,735.52,
F1-1,PAA536,clipper five thirty six turn right to heading of zero three zero and descend and maintain four thousand,743.3,748.05,
PAA536,F1-1,o k you want us ah right to zero three zero,749.89,752.51,
F1-1,PAA536,clipper five thirty six affirmative,752.52,753.95,
